name,coef,影响方向
num__MS SubClass,-0.0,负向降价
num__Lot Frontage,0.0,负向降价
num__Lot Area,0.0,负向降价
num__Overall Qual,0.0,负向降价
num__Overall Cond,-0.0,负向降价
num__Year Built,0.0,负向降价
num__Year Remod/Add,0.0,负向降价
num__Mas Vnr Area,0.0,负向降价
num__BsmtFin SF 1,0.0,负向降价
num__BsmtFin SF 2,0.0,负向降价
num__Bsmt Unf SF,0.0,负向降价
num__Total Bsmt SF,0.0,负向降价
num__1st Flr SF,0.0,负向降价
num__2nd Flr SF,0.0,负向降价
num__Low Qual Fin SF,-0.0,负向降价
num__Gr Liv Area,0.0,负向降价
num__Bsmt Full Bath,0.0,负向降价
num__Bsmt Half Bath,-0.0,负向降价
num__Full Bath,0.0,负向降价
num__Half Bath,0.0,负向降价
num__Bedroom AbvGr,0.0,负向降价
num__Kitchen AbvGr,-0.0,负向降价
num__TotRms AbvGrd,0.0,负向降价
num__Fireplaces,0.0,负向降价
num__Garage Yr Blt,0.0,负向降价
num__Garage Cars,0.0,负向降价
num__Garage Area,0.0,负向降价
num__Wood Deck SF,0.0,负向降价
num__Open Porch SF,0.0,负向降价
num__Enclosed Porch,-0.0,负向降价
num__3Ssn Porch,0.0,负向降价
num__Screen Porch,0.0,负向降价
num__Pool Area,0.0,负向降价
num__Misc Val,-0.0,负向降价
num__Mo Sold,0.0,负向降价
num__Yr Sold,-0.0,负向降价
num__Lot Frontage_missing,0.0,负向降价
num__Mas Vnr Area_missing,0.0,负向降价
num__BsmtFin SF 1_missing,-0.0,负向降价
num__BsmtFin SF 2_missing,-0.0,负向降价
num__Bsmt Unf SF_missing,-0.0,负向降价
num__Total Bsmt SF_missing,-0.0,负向降价
num__Bsmt Full Bath_missing,-0.0,负向降价
num__Bsmt Half Bath_missing,-0.0,负向降价
num__Garage Yr Blt_missing,-0.0,负向降价
num__Garage Cars_missing,-0.0,负向降价
num__Garage Area_missing,-0.0,负向降价
num__LogSalePrice,0.37504449615957136,正向抬价
cat__MS Zoning_A (agr),-0.0,负向降价
cat__MS Zoning_C (all),-0.0,负向降价
cat__MS Zoning_FV,0.0,负向降价
cat__MS Zoning_I (all),-0.0,负向降价
cat__MS Zoning_RH,-0.0,负向降价
cat__MS Zoning_RL,0.0,负向降价
cat__MS Zoning_RM,-0.0,负向降价
cat__Street_Grvl,-0.0,负向降价
cat__Street_Pave,0.0,负向降价
cat__Alley_Grvl,-0.0,负向降价
cat__Alley_Missing,0.0,负向降价
cat__Alley_Pave,0.0,负向降价
cat__Lot Shape_IR1,0.0,负向降价
cat__Lot Shape_IR2,0.0,负向降价
cat__Lot Shape_IR3,0.0,负向降价
cat__Lot Shape_Reg,-0.0,负向降价
cat__Land Contour_Bnk,-0.0,负向降价
cat__Land Contour_HLS,0.0,负向降价
cat__Land Contour_Low,0.0,负向降价
cat__Land Contour_Lvl,-0.0,负向降价
cat__Utilities_AllPub,0.0,负向降价
cat__Utilities_NoSeWa,-0.0,负向降价
cat__Utilities_NoSewr,-0.0,负向降价
cat__Lot Config_Corner,-0.0,负向降价
cat__Lot Config_CulDSac,0.0,负向降价
cat__Lot Config_FR2,-0.0,负向降价
cat__Lot Config_FR3,0.0,负向降价
cat__Lot Config_Inside,-0.0,负向降价
cat__Land Slope_Gtl,-0.0,负向降价
cat__Land Slope_Mod,0.0,负向降价
cat__Land Slope_Sev,0.0,负向降价
cat__Neighborhood_Blmngtn,0.0,负向降价
cat__Neighborhood_Blueste,-0.0,负向降价
cat__Neighborhood_BrDale,-0.0,负向降价
cat__Neighborhood_BrkSide,-0.0,负向降价
cat__Neighborhood_ClearCr,0.0,负向降价
cat__Neighborhood_CollgCr,0.0,负向降价
cat__Neighborhood_Crawfor,0.0,负向降价
cat__Neighborhood_Edwards,-0.0,负向降价
cat__Neighborhood_Gilbert,0.0,负向降价
cat__Neighborhood_Greens,0.0,负向降价
cat__Neighborhood_GrnHill,0.0,负向降价
cat__Neighborhood_IDOTRR,-0.0,负向降价
cat__Neighborhood_Landmrk,-0.0,负向降价
cat__Neighborhood_MeadowV,-0.0,负向降价
cat__Neighborhood_Mitchel,-0.0,负向降价
cat__Neighborhood_NAmes,-0.0,负向降价
cat__Neighborhood_NPkVill,-0.0,负向降价
cat__Neighborhood_NWAmes,0.0,负向降价
cat__Neighborhood_NoRidge,0.0,负向降价
cat__Neighborhood_NridgHt,0.0,负向降价
cat__Neighborhood_OldTown,-0.0,负向降价
cat__Neighborhood_SWISU,-0.0,负向降价
cat__Neighborhood_Sawyer,-0.0,负向降价
cat__Neighborhood_SawyerW,0.0,负向降价
cat__Neighborhood_Somerst,0.0,负向降价
cat__Neighborhood_StoneBr,0.0,负向降价
cat__Neighborhood_Timber,0.0,负向降价
cat__Neighborhood_Veenker,0.0,负向降价
cat__Condition 1_Artery,-0.0,负向降价
cat__Condition 1_Feedr,-0.0,负向降价
cat__Condition 1_Norm,0.0,负向降价
cat__Condition 1_PosA,0.0,负向降价
